,abstract
162,"In this paper, we discuss the adaptation of our decentralized place
recognition method described in [1] to full image descriptors. As we had shown,
the key to making a scalable decentralized visual place recognition lies in
exploting deterministic key assignment in a distributed key-value map. Through
this, it is possible to reduce bandwidth by up to a factor of n, the robot
count, by casting visual place recognition to a key-value lookup problem. In
[1], we exploited this for the bag-of-words method [3], [4]. Our method of
casting bag-of-words, however, results in a complex decentralized system, which
has inherently worse recall than its centralized counterpart. In this paper, we
instead start from the recent full-image description method NetVLAD [5]. As we
show, casting this to a key-value lookup problem can be achieved with k-means
clustering, and results in a much simpler system than [1]. The resulting system
still has some flaws, albeit of a completely different nature: it suffers when
the environment seen during deployment lies in a different distribution in
feature space than the environment seen during training.Comment: 3 pages, 4 figures. This is a self-published paper that accompanies
  our original work [1] as well as the ICRA 2017 Workshop on Multi-robot
  Perception-Driven Control and Planning [2"
163,"Convolutional Architecture for Fast Feature Encoding (CAFFE) [11] is a
software package for the training, classifying, and feature extraction of
images. The UCF Sports Action dataset is a widely used machine learning dataset
that has 200 videos taken in 720x480 resolution of 9 different sporting
activities: diving, golf, swinging, kicking, lifting, horseback riding,
running, skateboarding, swinging (various gymnastics), and walking. In this
report we report on a caffe feature extraction pipeline of images taken from
the videos of the UCF Sports Action dataset. A similar test was performed on
overfeat, and results were inferior to caffe. This study is intended to explore
the architecture and hyper parameters needed for effective static analysis of
action in videos and classification over a variety of image datasets.Comment: 12 pages. 11 tables. 0 Images. Written Summer 201"
164,"In this paper, we are interested in the few-shot learning problem. In
particular, we focus on a challenging scenario where the number of categories
is large and the number of examples per novel category is very limited, e.g. 1,
2, or 3. Motivated by the close relationship between the parameters and the
activations in a neural network associated with the same category, we propose a
novel method that can adapt a pre-trained neural network to novel categories by
directly predicting the parameters from the activations. Zero training is
required in adaptation to novel categories, and fast inference is realized by a
single forward pass. We evaluate our method by doing few-shot image recognition
on the ImageNet dataset, which achieves the state-of-the-art classification
accuracy on novel categories by a significant margin while keeping comparable
performance on the large-scale categories. We also test our method on the
MiniImageNet dataset and it strongly outperforms the previous state-of-the-art
methods"
165,"We propose a novel approach based on deep Convolutional Neural Networks (CNN)
to recognize human actions in still images by predicting the future motion, and
detecting the shape and location of the salient parts of the image. We make the
following major contributions to this important area of research: (i) We use
the predicted future motion in the static image (Walker et al., 2015) as a
means of compensating for the missing temporal information, while using the
saliency map to represent the the spatial information in the form of location
and shape of what is predicted as significant. (ii) We cast action
classification in static images as a domain adaptation problem by transfer
learning. We first map the input static image to a new domain that we refer to
as the Predicted Optical Flow-Saliency Map domain (POF-SM), and then fine-tune
the layers of a deep CNN model trained on classifying the ImageNet dataset to
perform action classification in the POF-SM domain. (iii) We tested our method
on the popular Willow dataset. But unlike existing methods, we also tested on a
more realistic and challenging dataset of over 2M still images that we
collected and labeled by taking random frames from the UCF-101 video dataset.
We call our dataset the UCF Still Image dataset or UCFSI-101 in short. Our
results outperform the state of the art"
166,"Convolutional neural networks (CNNs) have rapidly risen in popularity for
many machine learning applications, particularly in the field of image
recognition. Much of the benefit generated from these networks comes from their
ability to extract features from the data in a hierarchical manner. These
features are extracted using various transformational layers, notably the
convolutional layer which gives the model its name. In this work, we introduce
a new type of transformational layer called a quantum convolution, or
quanvolutional layer. Quanvolutional layers operate on input data by locally
transforming the data using a number of random quantum circuits, in a way that
is similar to the transformations performed by random convolutional filter
layers. Provided these quantum transformations produce meaningful features for
classification purposes, then the overall algorithm could be quite useful for
near term quantum computing, because it requires small quantum circuits with
little to no error correction. In this work, we empirically evaluated the
potential benefit of these quantum transformations by comparing three types of
models built on the MNIST dataset: CNNs, quantum convolutional neural networks
(QNNs), and CNNs with additional non-linearities introduced. Our results showed
that the QNN models had both higher test set accuracy as well as faster
training compared to the purely classical CNNs.Comment: 7 pages, 3 figure"
167,"In the paper a piecewise constant image approximations of sequential number
of pixel clusters or segments are treated. A majorizing of optimal
approximation sequence by hierarchical sequence of image approximations is
studied. Transition from pixel clustering to image segmentation by reducing of
segment numbers in clusters is provided. Algorithms are proved by elementary
formulas.Comment: 5 pages, 3 figures, 4 formulas, submitted to the 12 International
  Conference on Pattern Recognition and Information Processing May 28-30, 2014,
  Minsk, Belaru"
168,"This paper addresses the problem of automated vehicle tracking and
recognition from aerial image sequences. Motivated by its successes in the
existing literature focus on the use of linear appearance subspaces to describe
multi-view object appearance and highlight the challenges involved in their
application as a part of a practical system. A working solution which includes
steps for data extraction and normalization is described. In experiments on
real-world data the proposed methodology achieved promising results with a high
correct recognition rate and few, meaningful errors (type II errors whereby
genuinely similar targets are sometimes being confused with one another).
Directions for future research and possible improvements of the proposed method
are discussed"
169,"A conceptually simple way to classify images is to directly compare test-set
data and training-set data. The accuracy of this approach is limited by the
method of comparison used, and by the extent to which the training-set data
cover configuration space. Here we show that this coverage can be substantially
increased using simple strategies of coarse graining (replacing groups of
images by their centroids) and stochastic sampling (using distinct sets of
centroids in combination). We use the MNIST and Fashion-MNIST data sets to show
that coarse graining can be used to convert a subset of training images into
many fewer image centroids, with no loss of accuracy of classification of
test-set images by direct (nearest-neighbor) classification. Distinct batches
of centroids can be used in combination as a means of stochastically sampling
configuration space, and can classify test-set data more accurately than can
the unaltered training set. The approach works most naturally with multiple
processors in parallel"
170,"International Conference Image Analysis and Recognition (ICIAR 2018, Póvoa de Varzim, Portugal"
171,"Recognizing multiple labels of images is a fundamental but challenging task
in computer vision, and remarkable progress has been attained by localizing
semantic-aware image regions and predicting their labels with deep
convolutional neural networks. The step of hypothesis regions (region
proposals) localization in these existing multi-label image recognition
pipelines, however, usually takes redundant computation cost, e.g., generating
hundreds of meaningless proposals with non-discriminative information and
extracting their features, and the spatial contextual dependency modeling among
the localized regions are often ignored or over-simplified. To resolve these
issues, this paper proposes a recurrent attention reinforcement learning
framework to iteratively discover a sequence of attentional and informative
regions that are related to different semantic objects and further predict
label scores conditioned on these regions. Besides, our method explicitly
models long-term dependencies among these attentional regions that help to
capture semantic label co-occurrence and thus facilitate multi-label
recognition. Extensive experiments and comparisons on two large-scale
benchmarks (i.e., PASCAL VOC and MS-COCO) show that our model achieves superior
performance over existing state-of-the-art methods in both performance and
efficiency as well as explicitly identifying image-level semantic labels to
specific object regions.Comment: Accepted at AAAI 201"
172,"Depth is one of the keys that make neural networks succeed in the task of
large-scale image recognition. The state-of-the-art network architectures
usually increase the depths by cascading convolutional layers or building
blocks. In this paper, we present an alternative method to increase the depth.
Our method is by introducing computation orderings to the channels within
convolutional layers or blocks, based on which we gradually compute the outputs
in a channel-wise manner. The added orderings not only increase the depths and
the learning capacities of the networks without any additional computation
costs, but also eliminate the overlap singularities so that the networks are
able to converge faster and perform better. Experiments show that the networks
based on our method achieve the state-of-the-art performances on CIFAR and
ImageNet datasets"
173,"It is of great importance to preserve locality and similarity information in
semi-supervised learning (SSL) based applications. Graph based SSL and manifold
regularization based SSL including Laplacian regularization (LapR) and
Hypergraph Laplacian regularization (HLapR) are representative SSL methods and
have achieved prominent performance by exploiting the relationship of sample
distribution. However, it is still a great challenge to exactly explore and
exploit the local structure of the data distribution. In this paper, we present
an effect and effective approximation algorithm of Hypergraph p-Laplacian and
then propose Hypergraph p-Laplacian regularization (HpLapR) to preserve the
geometry of the probability distribution. In particular, p-Laplacian is a
nonlinear generalization of the standard graph Laplacian and Hypergraph is a
generalization of a standard graph. Therefore, the proposed HpLapR provides
more potential to exploiting the local structure preserving. We apply HpLapR to
logistic regression and conduct the implementations for remote sensing image
recognition. We compare the proposed HpLapR to several popular manifold
regularization based SSL methods including LapR, HLapR and HpLapR on UC-Merced
dataset. The experimental results demonstrate the superiority of the proposed
HpLapR.Comment: 9 pages, 6 figure"
174,"Recognition of human emotions from the imaging templates is useful in a wide
variety of human-computer interaction and intelligent systems applications.
However, the automatic recognition of facial expressions using image template
matching techniques suffer from the natural variability with facial features
and recording conditions. In spite of the progress achieved in facial emotion
recognition in recent years, the effective and computationally simple feature
selection and classification technique for emotion recognition is still an open
problem. In this paper, we propose an efficient and straightforward facial
emotion recognition algorithm to reduce the problem of inter-class pixel
mismatch during classification. The proposed method includes the application of
pixel normalization to remove intensity offsets followed-up with a Min-Max
metric in a nearest neighbor classifier that is capable of suppressing feature
outliers. The results indicate an improvement of recognition performance from
92.85% to 98.57% for the proposed Min-Max classification method when tested on
JAFFE database. The proposed emotion recognition technique outperforms the
existing template matching methods"
175,"We investigate the use of deep neural networks for the novel task of class
generic object detection. We show that neural networks originally designed for
image recognition can be trained to detect objects within images, regardless of
their class, including objects for which no bounding box labels have been
provided. In addition, we show that bounding box labels yield a 1% performance
increase on the ImageNet recognition challenge"
176,"Recently, manifold regularized semi-supervised learning (MRSSL) received
considerable attention because it successfully exploits the geometry of the
intrinsic data probability distribution including both labeled and unlabeled
samples to leverage the performance of a learning model. As a natural nonlinear
generalization of graph Laplacian, p-Laplacian has been proved having the rich
theoretical foundations to better preserve the local structure. However, it is
difficult to determine the fitting graph p-Lapalcian i.e. the parameter which
is a critical factor for the performance of graph p-Laplacian. Therefore, we
develop an ensemble p-Laplacian regularization (EpLapR) to fully approximate
the intrinsic manifold of the data distribution. EpLapR incorporates multiple
graphs into a regularization term in order to sufficiently explore the
complementation of graph p-Laplacian. Specifically, we construct a fused graph
by introducing an optimization approach to assign suitable weights on different
p-value graphs. And then, we conduct semi-supervised learning framework on the
fused graph. Extensive experiments on UC-Merced data set demonstrate the
effectiveness and efficiency of the proposed method.Comment: 13 pages, 7 figures. arXiv admin note: text overlap with
  arXiv:1806.0810"
177,"Feature extraction is one of the fundamental problems of character
recognition. The performance of character recognition system is depends on
proper feature extraction and correct classifier selection. In this article, a
rapid feature extraction method is proposed and named as Celled Projection (CP)
that compute the projection of each section formed through partitioning an
image. The recognition performance of the proposed method is compared with
other widely used feature extraction methods that are intensively studied for
many different scripts in literature. The experiments have been conducted using
Bangla handwritten numerals along with three different well known classifiers
which demonstrate comparable results including 94.12% recognition accuracy
using celled projection.Comment: 5 pages, 1 figur"
178,"An automated data reduction system for the analysis of interference fringe patterns obtained using the particle image velocimetry technique is described. This system is based on digital image processing techniques that have provided the flexibility and speed needed to obtain more complete automation of the data reduction process. As approached here, this process includes scanning/searching for data on the photographic record, recognition of fringe patterns of sufficient quality, and, finally, analysis of these fringes to determine a local measure of the velocity magnitude and direction. The fringe analysis as well as the fringe image recognition are based on full frame autocorrelation techniques using parallel processing capabilities"
179,"Human doing actions will result in WiFi distortion, which is widely explored
for action recognition, such as the elderly fallen detection, hand sign
language recognition, and keystroke estimation. As our best survey, past work
recognizes human action by categorizing one complete distortion series into one
action, which we term as series-level action recognition. In this paper, we
introduce a much more fine-grained and challenging action recognition task into
WiFi sensing domain, i.e., sample-level action recognition. In this task, every
WiFi distortion sample in the whole series should be categorized into one
action, which is a critical technique in precise action localization,
continuous action segmentation, and real-time action recognition. To achieve
WiFi-based sample-level action recognition, we fully analyze approaches in
image-based semantic segmentation as well as in video-based frame-level action
recognition, then propose a simple yet efficient deep convolutional neural
network, i.e., Temporal Unet. Experimental results show that Temporal Unet
achieves this novel task well. Codes have been made publicly available at
https://github.com/geekfeiw/WiSLAR.Comment: 14 pages, 14 figures, 1 tabl"
180,"This paper is an overview of Image Processing and Analysis using Scilab, a
free prototyping environment for numerical calculations similar to Matlab. We
demonstrate the capabilities of SIP -- the Scilab Image Processing Toolbox --
which extends Scilab with many functions to read and write images in over 100
major file formats, including PNG, JPEG, BMP, and TIFF. It also provides
routines for image filtering, edge detection, blurring, segmentation, shape
analysis, and image recognition. Basic directions to install Scilab and SIP are
given, and also a mini-tutorial on Scilab. Three practical examples of image
analysis are presented, in increasing degrees of complexity, showing how
advanced image analysis techniques seems uncomplicated in this environment.Comment: 16 pages, 6 figure"
181,"Spatial Pyramid Matching (SPM) and its variants have achieved a lot of
success in image classification. The main difference among them is their
encoding schemes. For example, ScSPM incorporates Sparse Code (SC) instead of
Vector Quantization (VQ) into the framework of SPM. Although the methods
achieve a higher recognition rate than the traditional SPM, they consume more
time to encode the local descriptors extracted from the image. In this paper,
we propose using Low Rank Representation (LRR) to encode the descriptors under
the framework of SPM. Different from SC, LRR considers the group effect among
data points instead of sparsity. Benefiting from this property, the proposed
method (i.e., LrrSPM) can offer a better performance. To further improve the
generalizability and robustness, we reformulate the rank-minimization problem
as a truncated projection problem. Extensive experimental studies show that
LrrSPM is more efficient than its counterparts (e.g., ScSPM) while achieving
competitive recognition rates on nine image data sets.Comment: accepted into knowledge based systems, 201"
182,"Gabor functions have wide-spread applications in image processing and
computer vision. In this paper, we prove that 2D Gabor functions are
translation-invariant positive-definite kernels and propose a novel formulation
for the problem of image representation with Gabor functions based on infinite
kernel learning regression. Using this formulation, we obtain a support vector
expansion of an image based on a mixture of Gabor functions. The problem with
this representation is that all Gabor functions are present at all support
vector pixels. Applying LASSO to this support vector expansion, we obtain a
sparse representation in which each Gabor function is positioned at a very
small set of pixels. As an application, we introduce a method for learning a
dataset-specific set of Gabor filters that can be used subsequently for feature
extraction. Our experiments show that use of the learned Gabor filters improves
the recognition accuracy of a recently introduced face recognition algorithm"
183,"Deep convolutional neural networks (CNNs) have been immensely successful in
many high-level computer vision tasks given large labeled datasets. However,
for video semantic object segmentation, a domain where labels are scarce,
effectively exploiting the representation power of CNN with limited training
data remains a challenge. Simply borrowing the existing pretrained CNN image
recognition model for video segmentation task can severely hurt performance. We
propose a semi-supervised approach to adapting CNN image recognition model
trained from labeled image data to the target domain exploiting both semantic
evidence learned from CNN, and the intrinsic structures of video data. By
explicitly modeling and compensating for the domain shift from the source
domain to the target domain, this proposed approach underpins a robust semantic
object segmentation method against the changes in appearance, shape and
occlusion in natural videos. We present extensive experiments on challenging
datasets that demonstrate the superior performance of our approach compared
with the state-of-the-art methods"
184,"Deep neural networks (DNNs) have demonstrated success for many supervised
learning tasks, ranging from voice recognition, object detection, to image
classification. However, their increasing complexity might yield poor
generalization error that make them hard to be deployed on edge devices.
Quantization is an effective approach to compress DNNs in order to meet these
constraints. Using a quasiconvex base function in order to construct a binary
quantizer helps training binary neural networks (BNNs) and adding noise to the
input data or using a concrete regularization function helps to improve
generalization error. Here we introduce foothill function, an infinitely
differentiable quasiconvex function. This regularizer is flexible enough to
deform towards $L_1$ and $L_2$ penalties. Foothill can be used as a binary
quantizer, as a regularizer, or as a loss. In particular, we show this
regularizer reduces the accuracy gap between BNNs and their full-precision
counterpart for image classification on ImageNet.Comment: Accepted in 16th International Conference of Image Analysis and
  Recognition (ICIAR 2019"
185,"We present a baseline convolutional neural network (CNN) structure and image
preprocessing methodology to improve facial expression recognition algorithm
using CNN. To analyze the most efficient network structure, we investigated
four network structures that are known to show good performance in facial
expression recognition. Moreover, we also investigated the effect of input
image preprocessing methods. Five types of data input (raw, histogram
equalization, isotropic smoothing, diffusion-based normalization, difference of
Gaussian) were tested, and the accuracy was compared. We trained 20 different
CNN models (4 networks x 5 data input types) and verified the performance of
each network with test images from five different databases. The experiment
result showed that a three-layer structure consisting of a simple convolutional
and a max pooling layer with histogram equalization image input was the most
efficient. We describe the detailed training procedure and analyze the result
of the test accuracy based on considerable observation.Comment: 6 pages, RO-MAN2016 Conferenc"
186,"Many previous methods have showed the importance of considering semantically
relevant objects for performing event recognition, yet none of the methods have
exploited the power of deep convolutional neural networks to directly integrate
relevant object information into a unified network. We present a novel unified
deep CNN architecture which integrates architecturally different, yet
semantically-related object detection networks to enhance the performance of
the event recognition task. Our architecture allows the sharing of the
convolutional layers and a fully connected layer which effectively integrates
event recognition, rigid object detection and non-rigid object detection.Comment: submitted to IEEE International Conference on Image Processing 201"
187,"We present a new action recognition deep neural network which adaptively
learns the best action velocities in addition to the classification. While deep
neural networks have reached maturity for image understanding tasks, we are
still exploring network topologies and features to handle the richer
environment of video clips. Here, we tackle the problem of multiple velocities
in action recognition, and provide state-of-the-art results for gesture
recognition, on known and new collected datasets. We further provide the
training steps for our semi-supervised network, suited to learn from huge
unlabeled datasets with only a fraction of labeled examples"
188,"This paper addresses the task of zero-shot image classification. The key
contribution of the proposed approach is to control the semantic embedding of
images -- one of the main ingredients of zero-shot learning -- by formulating
it as a metric learning problem. The optimized empirical criterion associates
two types of sub-task constraints: metric discriminating capacity and accurate
attribute prediction. This results in a novel expression of zero-shot learning
not requiring the notion of class in the training phase: only pairs of
image/attributes, augmented with a consistency indicator, are given as ground
truth. At test time, the learned model can predict the consistency of a test
image with a given set of attributes , allowing flexible ways to produce
recognition inferences. Despite its simplicity, the proposed approach gives
state-of-the-art results on four challenging datasets used for zero-shot
recognition evaluation.Comment: in ECCV 2016, Oct 2016, amsterdam, Netherlands. 201"
189,"This work has been done as part of the EU VICAR (IST) project and the EU SCOFI project (IAP). The aim of the first project was to develop a real time video indexing classification annotation and retrieval system. For our systems, we have adapted the approach of Picard and Minka [3], who categorized elements of a scene automatically with so-called ’stuff’ categories (e.g., grass, sky, sand, stone). Campbell et al. [1] use similar concepts to describe certain parts of an image, which they named “labeled image regions”. However, they did not use these elements to classify the topic of the scene. Subsequently, we developed a generic approach for the recognition of visual scenes, where an alphabet of basic visual elements (or “typed patches”) is used to classify the topic of a scene. We define a new image element: a patch, which is a group of adjacent pixels within an image, described by a specific local pixel distribution, brightness, and color. In contrast with pixels, a patch as a whole can incorporate semantics. A patch is described by a HSI color histogram with 16 bins and by three texture features (i.e., the variance and two values based on the two eigen values of the covariance matrix of the Intensity values of a mask ran over the image. For more details on the features used we refer to Israel et al. [2]. We aimed at describing each image as a vector with a fixed size and with information about the position of patches that is not strict (strict position would limit generalization). Therefore, a fixed grid is placed over the image and each grid cell is segmented into patches, which are then categorized by a patch classifier. For each grid cell a frequency vector of its classified patches is calculated. These vectors are concate- nated. The resulting vector describes the complete image. Several grids were applied and several patch sizes with the grid cells were tested. Grid size of 3x2 combined with patches of size 16x16 provided the best system performance. For the two classification phases of our system, back-propagation networks were trained: (i) classification of the patches and (ii) classification of the image vector, as a whole. The system was tested on the classification of eight categories of scenes from the Corel database: interiors, city/street, forest, agriculture/countryside, desert, sea, portrait, and crowds. Each of these categories were relevant for the VICAR project. Based upon their relevance for these eight categories of scenes, we choose nine categories for the classification of the patches: building, crowd, grass, road, sand, skin, sky, tree, and water. This approach was found to be successful (for classification of the patches 87.5% correct, and classification of the scenes 73.8% correct). An advantage of our method is its low computational complexity. Moreover, the classified patches themselves are intermediate image representations and can be used for image classification, image segmentation as well as for image matching. A disadvantage is that the patches with which the classifiers were trained had to be manually classified. To solve this drawback, we currently develop algorithms for automatic extraction of relevant patch types. Within the IST project VICAR, a video indexing system was built for the Netherlands Institute for Sound and Vision1, consisting of four independent mod- ules: car recognition, face recognition, movement recognition (of people) and scene recognition. The latter module was based upon the afore mentioned approach. Within the IAP project SCOFI, a real time Internet pornography filter was built, based upon this approach. The system is currently running on several schools in Europe. Within the SCOFI filtering system, our image classification system (with a performance of 92% correct) works together with a text classi- fication system that includes a proxy server (FilterX, developed by Demokritos, Greece) to classify web-pages. Its total performance is 0% overblocking and 1% underblocking"
190,"Single-sample face recognition is one of the most challenging problems in
face recognition. We propose a novel algorithm to address this problem based on
a sparse representation based classification (SRC) framework. The new algorithm
is robust to image misalignment and pixel corruption, and is able to reduce
required gallery images to one sample per class. To compensate for the missing
illumination information traditionally provided by multiple gallery images, a
sparse illumination learning and transfer (SILT) technique is introduced. The
illumination in SILT is learned by fitting illumination examples of auxiliary
face images from one or more additional subjects with a sparsely-used
illumination dictionary. By enforcing a sparse representation of the query
image in the illumination dictionary, the SILT can effectively recover and
transfer the illumination and pose information from the alignment stage to the
recognition stage. Our extensive experiments have demonstrated that the new
algorithms significantly outperform the state of the art in the single-sample
regime and with less restrictions. In particular, the single-sample face
alignment accuracy is comparable to that of the well-known Deformable SRC
algorithm using multiple gallery images per class. Furthermore, the face
recognition accuracy exceeds those of the SRC and Extended SRC algorithms using
hand labeled alignment initialization"
191,"This paper addresses the problem of learning word image representations:
given the cropped image of a word, we are interested in finding a descriptive,
robust, and compact fixed-length representation. Machine learning techniques
can then be supplied with these representations to produce models useful for
word retrieval or recognition tasks. Although many works have focused on the
machine learning aspect once a global representation has been produced, little
work has been devoted to the construction of those base image representations:
most works use standard coding and aggregation techniques directly on top of
standard computer vision features such as SIFT or HOG.
  We propose to learn local mid-level features suitable for building word image
representations. These features are learnt by leveraging character bounding box
annotations on a small set of training images. However, contrary to other
approaches that use character bounding box information, our approach does not
rely on detecting the individual characters explicitly at testing time. Our
local mid-level features can then be aggregated to produce a global word image
signature. When pairing these features with the recent word attributes
framework of Almaz\'an et al., we obtain results comparable with or better than
the state-of-the-art on matching and recognition tasks using global descriptors
of only 96 dimensions"
192,"We present an attention-based model for end-to-end handwriting recognition.
Our system does not require any segmentation of the input paragraph. The model
is inspired by the differentiable attention models presented recently for
speech recognition, image captioning or translation. The main difference is the
covert and overt attention, implemented as a multi-dimensional LSTM network.
Our principal contribution towards handwriting recognition lies in the
automatic transcription without a prior segmentation into lines, which was
crucial in previous approaches. To the best of our knowledge this is the first
successful attempt of end-to-end multi-line handwriting recognition. We carried
out experiments on the well-known IAM Database. The results are encouraging and
bring hope to perform full paragraph transcription in the near future"
193,"This paper demonstrates two different fusion techniques at two different
levels of a human face recognition process. The first one is called data fusion
at lower level and the second one is the decision fusion towards the end of the
recognition process. At first a data fusion is applied on visual and
corresponding thermal images to generate fused image. Data fusion is
implemented in the wavelet domain after decomposing the images through
Daubechies wavelet coefficients (db2). During the data fusion maximum of
approximate and other three details coefficients are merged together. After
that Principle Component Analysis (PCA) is applied over the fused coefficients
and finally two different artificial neural networks namely Multilayer
Perceptron(MLP) and Radial Basis Function(RBF) networks have been used
separately to classify the images. After that, for decision fusion based
decisions from both the classifiers are combined together using Bayesian
formulation. For experiments, IRIS thermal/visible Face Database has been used.
Experimental results show that the performance of multiple classifier system
along with decision fusion works well over the single classifier system.Comment: Keywords: Thermal Image, Visual Image, Fused Image, Data Fusion,
  Wavelet decomposition, Decision Fusion, Classificatio"
194,"In order to establish face recognition system in rehabilitation nursing
robots beds and achieve real-time monitor the patient on the bed. We propose a
face recognition method based on partial matching Hu moments which apply for
rehabilitation nursing robots beds. Firstly we using Haar classifier to detect
human faces automatically in dynamic video frames. Secondly we using Otsu
threshold method to extract facial features (eyebrows, eyes, mouth) in the face
image and its Hu moments. Finally, we using Hu moment feature set to achieve
the automatic face recognition. Experimental results show that this method can
efficiently identify face in a dynamic video and it has high practical value
(the accuracy rate is 91% and the average recognition time is 4.3s)"
195,"A sample-relaxed two-dimensional color principal component analysis
(SR-2DCPCA) approach is presented for face recognition and image reconstruction
based on quaternion models. A relaxation vector is automatically generated
according to the variances of training color face images with the same label. A
sample-relaxed, low-dimensional covariance matrix is constructed based on all
the training samples relaxed by a relaxation vector, and its eigenvectors
corresponding to the $r$ largest eigenvalues are defined as the optimal
projection. The SR-2DCPCA aims to enlarge the global variance rather than to
maximize the variance of the projected training samples. The numerical results
based on real face data sets validate that SR-2DCPCA has a higher recognition
rate than state-of-the-art methods and is efficient in image reconstruction.Comment: 18 pages, 7 figure"
196,"In this paper, we propose a micro hand gesture recognition system and methods
using ultrasonic active sensing. This system uses micro dynamic hand gestures
for recognition to achieve human-computer interaction (HCI). The implemented
system, called hand-ultrasonic gesture (HUG), consists of ultrasonic active
sensing, pulsed radar signal processing, and time-sequence pattern recognition
by machine learning. We adopt lower frequency (300 kHz) ultrasonic active
sensing to obtain high resolution range-Doppler image features. Using high
quality sequential range-Doppler features, we propose a state-transition-based
hidden Markov model for gesture recognition. This method achieves a recognition
accuracy of nearly 90\% by using symbolized range-Doppler features and
significantly reduces the computational complexity and power consumption.
Furthermore, to achieve higher classification accuracy, we utilize an
end-to-end neural network model and obtain a recognition accuracy of 96.32\%.
In addition to offline analysis, a real-time prototype is released to verify
our method's potential for application in the real world"
197,"Feature descriptors involved in image processing are generally manually
chosen and high dimensional in nature. Selecting the most important features is
a very crucial task for systems like facial expression recognition. This paper
investigates the performance of deep autoencoders for feature selection and
dimension reduction for facial expression recognition on multiple levels of
hidden layers. The features extracted from the stacked autoencoder outperformed
when compared to other state-of-the-art feature selection and dimension
reduction techniques"
198,"Advances in image restoration and enhancement techniques have led to
discussion about how such algorithmscan be applied as a pre-processing step to
improve automatic visual recognition. In principle, techniques like deblurring
and super-resolution should yield improvements by de-emphasizing noise and
increasing signal in an input image. But the historically divergent goals of
the computational photography and visual recognition communities have created a
significant need for more work in this direction. To facilitate new research,
we introduce a new benchmark dataset called UG^2, which contains three
difficult real-world scenarios: uncontrolled videos taken by UAVs and manned
gliders, as well as controlled videos taken on the ground. Over 160,000
annotated frames forhundreds of ImageNet classes are available, which are used
for baseline experiments that assess the impact of known and unknown image
artifacts and other conditions on common deep learning-based object
classification approaches. Further, current image restoration and enhancement
techniques are evaluated by determining whether or not theyimprove baseline
classification performance. Results showthat there is plenty of room for
algorithmic innovation, making this dataset a useful tool going forward.Comment: Supplemental material: https://goo.gl/vVM1xe, Dataset:
  https://goo.gl/AjA6En, CVPR 2018 Prize Challenge: ug2challenge.or"
199,"Subspace-based holistic registration is introduced as an alternative to landmark-based face registration, which has a poor performance on low-resolution images, as obtained in camera surveillance applications. The proposed registration method finds the alignment by maximizing the similarity score between a probe and a gallery image. We use a novel probabilistic framework for both user-independent as well as user-specific face registration. The similarity is calculated using the probability that the face image is correctly aligned in a face subspace, but additionally we take the probability into account that the face is misaligned based on the residual error in the dimensions perpendicular to the face subspace. We perform extensive experiments on the FRGCv2 database to evaluate the impact that the face registration methods have on face recognition. Subspace-based holistic registration on low-resolution images can improve face recognition in comparison with landmark-based registration on high-resolution images. The performance of the tested face recognition methods after subspace-based holistic registration on a low-resolution version of the FRGC database is similar to that after manual registration"
200,"Real-world image recognition is often challenged by the variability of visual
styles including object textures, lighting conditions, filter effects, etc.
Although these variations have been deemed to be implicitly handled by more
training data and deeper networks, recent advances in image style transfer
suggest that it is also possible to explicitly manipulate the style
information. Extending this idea to general visual recognition problems, we
present Batch-Instance Normalization (BIN) to explicitly normalize unnecessary
styles from images. Considering certain style features play an essential role
in discriminative tasks, BIN learns to selectively normalize only disturbing
styles while preserving useful styles. The proposed normalization module is
easily incorporated into existing network architectures such as Residual
Networks, and surprisingly improves the recognition performance in various
scenarios. Furthermore, experiments verify that BIN effectively adapts to
completely different tasks like object classification and style transfer, by
controlling the trade-off between preserving and removing style variations. BIN
can be implemented with only a few lines of code using popular deep learning
frameworks"
201,"Freehand sketches often contain sparse visual detail. In spite of the
sparsity, they are easily and consistently recognized by humans across
cultures, languages and age groups. Therefore, analyzing such sparse sketches
can aid our understanding of the neuro-cognitive processes involved in visual
representation and recognition. In the recent past, Convolutional Neural
Networks (CNNs) have emerged as a powerful framework for feature representation
and recognition for a variety of image domains. However, the domain of sketch
images has not been explored. This paper introduces a freehand sketch
recognition framework based on ""deep"" features extracted from CNNs. We use two
popular CNNs for our experiments -- Imagenet CNN and a modified version of
LeNet CNN. We evaluate our recognition framework on a publicly available
benchmark database containing thousands of freehand sketches depicting everyday
objects. Our results are an improvement over the existing state-of-the-art
accuracies by 3% - 11%. The effectiveness and relative compactness of our deep
features also make them an ideal candidate for related problems such as
sketch-based image retrieval. In addition, we provide a preliminary glimpse of
how such features can help identify crucial attributes (e.g. object-parts) of
the sketched objects.Comment: Submitted to ICIP-2015, 5 pages. Removed an erroneous claim regarding
  a work cited in the pape"
